Target Pattern Name,Target Pattern Description,Prefix,Per period charge,Connection charge,Period time
Algeria,Nedjma Mobile,2135,"0,608","0,608",60
Algeria,Mobile,2139,"0,392","0,392",60
Algeria,Mobile,2137,"0,423","0,423",60
Algeria,Mobile,2136,"0,392","0,392",60
Algeria,Orascom Mobile,21379,"0,444","0,444",60
Algeria,Orascom Mobile,21378,"0,444","0,444",60
Algeria,Orascom Mobile,21377,"0,444","0,444",60
Algeria,Wataniya Mobile,21356,"0,608","0,608",60
Algeria,Landline,213,"0,099","0,099",60
Algeria,Wataniya Mobile,21355,"0,608","0,608",60
Algeria,Algiers,2132,"0,099","0,099",60
American Samoa,Mobile,16842,"0,045","0,045",60
American Samoa,Landline,1684,"0,045","0,045",60
Andorra,Mobile,3764,"0,18","0,18",60
Andorra,Mobile,3763,"0,18","0,18",60
Andorra,Mobile,3766,"0,18","0,18",60
Andorra,Mobile,3765,"0,18","0,18",60
Andorra,Landline,376,"0,028","0,028",60
Angola,Unitel Mobile,24493,"0,252","0,252",60
Angola,Unitel Mobile,24492,"0,252","0,252",60
Angola,Unitel Mobile,24494,"0,252","0,252",60
Angola,Mobile,24491,"0,219","0,219",60
Angola,Landline,244,"0,093","0,093",60
Angola,Mobile,24499,"0,219","0,219",60
Anguilla,Mobile,1264540,"0,293","0,293",60
Anguilla,Landline,1264,"0,228","0,228",60
Anguilla,Digicel Mobile,1264581,"0,286","0,286",60
Anguilla,Digicel Mobile,1264582,"0,286","0,286",60
Anguilla,Digicel Mobile,1264583,"0,286","0,286",60
Anguilla,Digicel Mobile,1264584,"0,286","0,286",60
Anguilla,Mobile,1264536,"0,293","0,293",60
Anguilla,Mobile,1264537,"0,293","0,293",60
Anguilla,Mobile,1264538,"0,293","0,293",60
Anguilla,Mobile,1264539,"0,293","0,293",60
Anguilla,Mobile,1264543,"0,293","0,293",60
Anguilla,Mobile,1264772,"0,293","0,293",60
Anguilla,Mobile,1264729,"0,29","0,29",60
Anguilla,Mobile,1264469,"0,293","0,293",60
Anguilla,Mobile,1264235,"0,29","0,29",60
Anguilla,Mobile,1264476,"0,293","0,293",60
Antigua And Barbuda,Mobile,1268718,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268719,"0,281","0,281",60
Antigua And Barbuda,Mobile,126872,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268732,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268734,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268736,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268762,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268764,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268770,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268771,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268772,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268773,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268774,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268717,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268775,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268776,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268778,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268779,"0,281","0,281",60
Antigua And Barbuda,Landline,1268,"0,273","0,273",60
Antigua And Barbuda,Mobile,126878,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268464,"0,281","0,281",60
Antigua And Barbuda,Mobile,1268716,"0,281","0,281",60
Argentina,La Plata,54221,"0,024","0,024",60
Argentina,Mar Del Plata,54223,"0,024","0,024",60
Argentina,La Pampa,54230,"0,016","0,016",60
Argentina,Pilar,54232,"0,016","0,016",60
Argentina,Mendoza,54261,"0,016","0,016",60
Argentina,Bahia Blanca,54291,"0,065","0,065",60
Argentina,Neuquen,54299,"0,016","0,016",60
Argentina,Rosario,54341,"0,016","0,016",60
Argentina,Santa Fe,54342,"0,016","0,016",60
Argentina,Zarate,54348,"0,016","0,016",60
Argentina,Special Services,54116261,1200,1200,60
Argentina,Cordoba,54351,"0,016","0,016",60
Argentina,Tucuman,54381,"0,02","0,02",60
Argentina,Salta,543874,"0,016","0,016",60
Argentina,Mobile,549,"0,162","0,162",60
Argentina,Special Services,54115519,1200,1200,60
Argentina,Landline,54,"0,04","0,04",60
Argentina,Buenos Aires,5411,"0,022","0,022",60
Armenia,Special Services,37460,"0,712","0,712",60
Armenia,Landline,374,"0,23","0,23",60
Armenia,K-Telecom Mobile,37449,"0,278","0,278",60
Armenia,K-Telecom Mobile,37477,"0,288","0,288",60
Armenia,K-Telecom Mobile,37493,"0,288","0,288",60
Armenia,K-Telecom Mobile,37494,"0,288","0,288",60
Armenia,K-Telecom Mobile,37498,"0,288","0,288",60
Armenia,Armentel Mobile,37443,"0,285","0,285",60
Armenia,Armentel Mobile,37491,"0,285","0,285",60
Armenia,Armentel Mobile,37496,"0,285","0,285",60
Armenia,Armentel Mobile,37499,"0,285","0,285",60
Armenia,Karabakh Mobile,37497,"0,203","0,203",60
Armenia,Orange Mobile,37441,"0,287","0,287",60
Armenia,Orange Mobile,37455,"0,287","0,287",60
Armenia,Orange Mobile,37495,"0,287","0,287",60
Armenia,Yerevan,37410,"0,228","0,228",60
Armenia,Mobile,3745,"0,278","0,278",60
Armenia,Mobile,3749,"0,278","0,278",60
Armenia,Karabakh,37447,"0,213","0,213",60
Aruba,Digicel Mobile,297630,"0,269","0,269",60
Aruba,Digicel Mobile,297640,"0,269","0,269",60
Aruba,Digicel Mobile,297641,"0,269","0,269",60
Aruba,Digicel Mobile,29773,"0,255","0,255",60
Aruba,Digicel Mobile,29774,"0,255","0,255",60
Aruba,Mobile,29756,"0,273","0,273",60
Aruba,Mobile,29759,"0,273","0,273",60
Aruba,Mobile,297600,"0,273","0,273",60
Aruba,Mobile,297622,"0,273","0,273",60
Aruba,Mobile,29766,"0,273","0,273",60
Aruba,Mobile,29769,"0,273","0,273",60
Aruba,Mobile,29796,"0,273","0,273",60
Aruba,Mobile,29799,"0,273","0,273",60
Aruba,Landline,297,"0,18","0,18",60
Ascension Island,Special Services,2470,1200,1200,60
Ascension Island,Special Services,2471,1200,1200,60
Ascension Island,Special Services,247230024,1200,1200,60
Ascension Island,Special Services,2474019,1200,1200,60
Ascension Island,Special Services,2475,1200,1200,60
Ascension Island,Special Services,2476048,1200,1200,60
Ascension Island,Special Services,2476099,1200,1200,60
Ascension Island,Special Services,2476212,1200,1200,60
Ascension Island,Special Services,2476599,1200,1200,60
Ascension Island,Special Services,2476619,1200,1200,60
Ascension Island,Special Services,24778503,1200,1200,60
Ascension Island,Special Services,2478,1200,1200,60
Ascension Island,Special Services,2479,1200,1200,60
Ascension Island,Landline,247,1080,1080,60
Australia,Canberra,61261,"0,02","0,02",60
Australia,Landline,61,"0,02","0,02",60
Australia,Brisbane,6173,"0,02","0,02",60
Australia,Adelaide,61870,"0,02","0,02",60
Australia,Adelaide,61871,"0,02","0,02",60
Australia,Adelaide,61872,"0,02","0,02",60
Australia,Adelaide,61873,"0,02","0,02",60
Australia,Adelaide,61874,"0,02","0,02",60
Australia,Adelaide,61881,"0,02","0,02",60
Australia,Adelaide,61882,"0,02","0,02",60
Australia,Adelaide,61883,"0,02","0,02",60
Australia,Adelaide,61884,"0,02","0,02",60
Australia,Canberra,61262,"0,02","0,02",60
Australia,Melbourne,6138,"0,02","0,02",60
Australia,Melbourne,6139,"0,02","0,02",60
Australia,Perth,61860,"0,02","0,02",60
Australia,Perth,61861,"0,02","0,02",60
Australia,Perth,61862,"0,02","0,02",60
Australia,Perth,61863,"0,02","0,02",60
Australia,Perth,61864,"0,02","0,02",60
Australia,Perth,61865,"0,02","0,02",60
Australia,Perth,61892,"0,02","0,02",60
Australia,Perth,61893,"0,02","0,02",60
Australia,Perth,61894,"0,02","0,02",60
Australia,Sydney,6127,"0,02","0,02",60
Australia,Sydney,6128,"0,02","0,02",60
Australia,Sydney,6129,"0,02","0,02",60
Australia,Mobile,6116,"0,036","0,036",60
Australia,Mobile,6142,"0,036","0,036",60
Australia,Satellite Optus,61145,2339,2339,60
Australia,Satellite Telstra,61147,2323,2323,60
Australia,Special Services,6113,"0,607","0,607",60
Australia,Mobile,614,"0,061","0,061",60
Australia,Optus Mobile,61401,"0,059","0,059",60
Australia,Optus Mobile,61402,"0,059","0,059",60
Australia,Optus Mobile,61403,"0,059","0,059",60
Australia,Optus Mobile,61411,"0,059","0,059",60
Australia,Optus Mobile,61412,"0,059","0,059",60
Australia,Optus Mobile,61413,"0,059","0,059",60
Australia,Optus Mobile,61421,"0,059","0,059",60
Australia,Optus Mobile,61422,"0,059","0,059",60
Australia,Optus Mobile,61423,"0,059","0,059",60
Australia,Optus Mobile,61431,"0,059","0,059",60
Australia,Optus Mobile,61432,"0,059","0,059",60
Australia,Optus Mobile,61434,"0,059","0,059",60
Australia,Optus Mobile,61435,"0,059","0,059",60
Australia,Optus Mobile,61466,"0,059","0,059",60
Australia,Optus Mobile,61478,"0,059","0,059",60
Australia,Optus Mobile,61481,"0,059","0,059",60
Australia,Optus Mobile,61482,"0,059","0,059",60
Australia,Optus Mobile,614683,"0,059","0,059",60
Australia,Optus Mobile,614684,"0,059","0,059",60
Australia,Optus Mobile,614685,"0,059","0,059",60
Australia,Optus Mobile,614686,"0,059","0,059",60
Australia,Optus Mobile,614687,"0,059","0,059",60
Australia,Optus Mobile,614688,"0,059","0,059",60
Australia,Optus Mobile,614689,"0,059","0,059",60
Australia,Optus Mobile,614790,"0,059","0,059",60
Australia,Optus Mobile,614791,"0,059","0,059",60
Australia,Vodafone Mobile,61404,"0,059","0,059",60
Australia,Vodafone Mobile,61405,"0,059","0,059",60
Australia,Vodafone Mobile,61406,"0,059","0,059",60
Australia,Vodafone Mobile,61410,"0,059","0,059",60
Australia,Vodafone Mobile,61414,"0,059","0,059",60
Australia,Vodafone Mobile,61415,"0,059","0,059",60
Australia,Vodafone Mobile,61416,"0,059","0,059",60
Australia,Vodafone Mobile,61424,"0,059","0,059",60
Australia,Vodafone Mobile,61425,"0,059","0,059",60
Australia,Vodafone Mobile,61426,"0,059","0,059",60
Australia,Vodafone Mobile,61430,"0,059","0,059",60
Australia,Vodafone Mobile,61433,"0,059","0,059",60
Australia,Vodafone Mobile,61449,"0,059","0,059",60
Australia,Vodafone Mobile,61450,"0,059","0,059",60
Australia,Vodafone Mobile,61451,"0,059","0,059",60
Australia,Vodafone Mobile,61452,"0,059","0,059",60
Australia,Vodafone Mobile,614202,"0,059","0,059",60
Australia,Vodafone Mobile,614203,"0,059","0,059",60
Australia,Vodafone Mobile,614204,"0,059","0,059",60
Australia,Vodafone Mobile,614205,"0,059","0,059",60
Australia,Vodafone Mobile,614206,"0,059","0,059",60
Australia,Vodafone Mobile,614207,"0,059","0,059",60
Australia,Vodafone Mobile,614208,"0,059","0,059",60
Australia,Vodafone Mobile,614209,"0,059","0,059",60
Australia,Vodafone Mobile,614888,"0,059","0,059",60
Australia,Vodafone Mobile,614520,"0,059","0,059",60
Australia,Vodafone Mobile,614521,"0,059","0,059",60
Australia,Vodafone Mobile,614522,"0,059","0,059",60
Australia,Vodafone Mobile,614523,"0,059","0,059",60
Australia,Vodafone Mobile,614524,"0,059","0,059",60
Australia,Vodafone Mobile,614525,"0,059","0,059",60
Australia,Vodafone Mobile,614526,"0,059","0,059",60
Australia,Telstra Mobile,61400,"0,059","0,059",60
Australia,Telstra Mobile,61407,"0,059","0,059",60
Australia,Telstra Mobile,61408,"0,059","0,059",60
Australia,Telstra Mobile,61409,"0,059","0,059",60
Australia,Telstra Mobile,61417,"0,059","0,059",60
Australia,Telstra Mobile,61418,"0,059","0,059",60
Australia,Telstra Mobile,61419,"0,059","0,059",60
Australia,Telstra Mobile,61427,"0,059","0,059",60
Australia,Telstra Mobile,61428,"0,059","0,059",60
Australia,Telstra Mobile,61429,"0,059","0,059",60
Australia,Telstra Mobile,61437,"0,059","0,059",60
Australia,Telstra Mobile,61438,"0,059","0,059",60
Australia,Telstra Mobile,61439,"0,059","0,059",60
Australia,Telstra Mobile,61447,"0,059","0,059",60
Australia,Telstra Mobile,61448,"0,059","0,059",60
Australia,Telstra Mobile,61455,"0,059","0,059",60
Australia,Telstra Mobile,61456,"0,059","0,059",60
Australia,Telstra Mobile,61457,"0,059","0,059",60
Australia,Telstra Mobile,61458,"0,059","0,059",60
Australia,Telstra Mobile,61459,"0,059","0,059",60
Australia,Telstra Mobile,61467,"0,059","0,059",60
Australia,Telstra Mobile,61473,"0,059","0,059",60
Australia,Telstra Mobile,61474,"0,059","0,059",60
Australia,Telstra Mobile,61475,"0,059","0,059",60
Australia,Telstra Mobile,61476,"0,059","0,059",60
Australia,Telstra Mobile,61477,"0,059","0,059",60
Australia,Telstra Mobile,61484,"0,059","0,059",60
Australia,Telstra Mobile,61487,"0,059","0,059",60
Australia,Telstra Mobile,61490,"0,059","0,059",60
Australia,Telstra Mobile,61497,"0,059","0,059",60
Australia,Telstra Mobile,61498,"0,059","0,059",60
Australia,Telstra Mobile,61499,"0,059","0,059",60
Australia,Telstra Mobile,614444,"0,059","0,059",60
Australia,Telstra Mobile,614880,"0,059","0,059",60
Australia,Telstra Mobile,614881,"0,059","0,059",60
Australia,Telstra Mobile,614882,"0,059","0,059",60
Australia,Telstra Mobile,614883,"0,059","0,059",60
Australia,Telstra Mobile,614884,"0,059","0,059",60
Australia,Telstra Mobile,614885,"0,059","0,059",60
Australia,Telstra Mobile,614886,"0,059","0,059",60
Australia,Telstra Mobile,614887,"0,059","0,059",60
Australia,Telstra Mobile,614889,"0,059","0,059",60
Australia,Telstra Mobile,614910,"0,059","0,059",60
Australia,Telstra Mobile,614911,"0,059","0,059",60
Australia,Telstra Mobile,614912,"0,059","0,059",60
Australia,Telstra Mobile,614913,"0,059","0,059",60
Australia,Telstra Mobile,614914,"0,059","0,059",60
Australia,Telstra Mobile,61469,"0,059","0,059",60
Australia,Telstra Mobile,61470,"0,059","0,059",60
Austria,Special Services,43720,1200,1200,60
Austria,Special Services,43730,1200,1200,60
Austria,Special Services,43740,1200,1200,60
Austria,Special Services,43780,1200,1200,60
Austria,Special Services,43810,1200,1200,60
Austria,Special Services,43820,1200,1200,60
Austria,T-Mobile,43650,"0,299","0,299",60
Austria,Special Services,439,1200,1200,60
Austria,Vienna,431,"0,157","0,157",60
Austria,Mobile,436,"0,299","0,299",60
Austria,Landline,43,"0,157","0,157",60
Austria,Hutchison,43660,"0,299","0,299",60
Austria,Hutchison,4367833,"0,299","0,299",60
Austria,Hutchison,4367890,"0,299","0,299",60
Austria,Hutchison,4367891,"0,299","0,299",60
Austria,Hutchison,4368183,"0,299","0,299",60
Austria,Hutchison,43699,"0,299","0,299",60
Austria,Mobile,4368860,"0,299","0,299",60
Austria,Mobile,4368861,"0,299","0,299",60
Austria,Mobile,4368864,"0,299","0,299",60
Austria,Mobile,436887,"0,299","0,299",60
Austria,Mobile,436889,"0,299","0,299",60
Austria,A1 Mobile,43664,"0,299","0,299",60
Austria,A1 Mobile,43680,"0,299","0,299",60
Austria,A1 Mobile,43681,"0,299","0,299",60
Austria,A1 Mobile,43688,"0,299","0,299",60
Austria,A1 Mobile,4369981,"0,299","0,299",60
Austria,A1 Mobile,4369982,"0,299","0,299",60
Austria,A1 Mobile,4369988,"0,299","0,299",60
Austria,A1 Mobile,4369989,"0,299","0,299",60
Austria,Corporate Numbering,4350,"0,095","0,095",60
Austria,Corporate Numbering,43517,"0,095","0,095",60
Austria,Corporate Numbering,4357,"0,095","0,095",60
Austria,Corporate Numbering,4359,"0,095","0,095",60
Austria,T-Mobile,43676,"0,299","0,299",60
Austria,Special Services,43711,1200,1200,60
Azerbaijan,Mobile,994404,"0,371","0,371",60
Azerbaijan,Landline,994,"0,263","0,263",60
Azerbaijan,Baku,99412,"0,263","0,263",60
Azerbaijan,Azerphone Mobile,99470,"0,371","0,371",60
Azerbaijan,Azerphone Mobile,99477,"0,371","0,371",60
Azerbaijan,Bakcell Mobile,99455,"0,379","0,379",60
Azerbaijan,Azercell Mobile,99450,"0,371","0,371",60
Azerbaijan,Azercell Mobile,99451,"0,371","0,371",60
Azerbaijan,Mobile,994400,"0,371","0,371",60
Azerbaijan,Mobile,99444,"0,371","0,371",60
Azerbaijan,Mobile,99460,"0,371","0,371",60
Bahamas,Mobile,124239,"0,155","0,155",60
Bahamas,Mobile,124237,"0,155","0,155",60
Bahamas,Mobile,124242,"0,155","0,155",60
Bahamas,Mobile,124243,"0,155","0,155",60
Bahamas,Mobile,124244,"0,155","0,155",60
Bahamas,Mobile,124245,"0,155","0,155",60
Bahamas,Mobile,124246,"0,155","0,155",60
Bahamas,Mobile,124247,"0,155","0,155",60
Bahamas,Mobile,124252,"0,155","0,155",60
Bahamas,Mobile,124253,"0,155","0,155",60
Bahamas,Mobile,124254,"0,155","0,155",60
Bahamas,Mobile,124255,"0,155","0,155",60
Bahamas,Mobile,124256,"0,155","0,155",60
Bahamas,Mobile,124257,"0,155","0,155",60
Bahamas,Mobile,124260,"0,155","0,155",60
Bahamas,Mobile,124263,"0,155","0,155",60
Bahamas,Mobile,124264,"0,155","0,155",60
Bahamas,Mobile,124272,"0,155","0,155",60
Bahamas,Mobile,124278,"0,155","0,155",60
Bahamas,Mobile,124248,"0,155","0,155",60
Bahamas,Landline,1242,"0,155","0,155",60
Bahamas,Mobile,124235,"0,155","0,155",60
Bahrain,Batelco Mobile,973388,"0,159","0,159",60
Bahrain,Landline,973,"0,134","0,134",60
Bahrain,Landline,9737111,"0,2","0,2",60
Bahrain,Landline,97377,"0,154","0,154",60
Bahrain,Batelco Mobile,97331,"0,159","0,159",60
Bahrain,Batelco Mobile,97332,"0,159","0,159",60
Bahrain,Batelco Mobile,973380,"0,159","0,159",60
Bahrain,Batelco Mobile,973381,"0,159","0,159",60
Bahrain,Batelco Mobile,973382,"0,159","0,159",60
Bahrain,Batelco Mobile,973383,"0,159","0,159",60
Bahrain,Batelco Mobile,973384,"0,159","0,159",60
Bahrain,Batelco Mobile,973387,"0,159","0,159",60
Bahrain,Batelco Mobile,973389,"0,159","0,159",60
Bahrain,Batelco Mobile,97339,"0,159","0,159",60
Bahrain,Batelco Mobile,9736670,"0,159","0,159",60
Bahrain,Batelco Mobile,9736671,"0,159","0,159",60
Bahrain,Batelco Mobile,9736672,"0,159","0,159",60
Bahrain,Batelco Mobile,9736673,"0,159","0,159",60
Bahrain,Batelco Mobile,9736674,"0,159","0,159",60
Bahrain,Batelco Mobile,9736675,"0,159","0,159",60
Bahrain,Batelco Mobile,9736676,"0,159","0,159",60
Bahrain,Viva Mobile,97333,"0,158","0,158",60
Bahrain,Viva Mobile,973340,"0,158","0,158",60
Bahrain,Viva Mobile,973341,"0,158","0,158",60
Bahrain,Viva Mobile,973343,"0,158","0,158",60
Bahrain,Viva Mobile,973344,"0,158","0,158",60
Bahrain,Viva Mobile,973345,"0,158","0,158",60
Bahrain,Viva Mobile,973350,"0,158","0,158",60
Bahrain,Viva Mobile,973351,"0,158","0,158",60
Bahrain,Viva Mobile,973353,"0,158","0,158",60
Bahrain,Viva Mobile,973355,"0,158","0,158",60
Bahrain,Viva Mobile,973356,"0,158","0,158",60
Bahrain,Viva Mobile,973359,"0,158","0,158",60
Bahrain,Viva Mobile,9736300,"0,158","0,158",60
Bahrain,Viva Mobile,9736333,"0,158","0,158",60
Bahrain,Viva Mobile,9736361,"0,158","0,158",60
Bahrain,Viva Mobile,9736366,"0,158","0,158",60
Bahrain,Zain Mobile,97336,"0,158","0,158",60
Bahrain,Zain Mobile,97337,"0,158","0,158",60
Bahrain,Zain Mobile,9736630,"0,158","0,158",60
Bahrain,Zain Mobile,9736633,"0,158","0,158",60
Bahrain,Zain Mobile,9736634,"0,158","0,158",60
Bahrain,Zain Mobile,9736635,"0,158","0,158",60
Bahrain,Zain Mobile,9736636,"0,158","0,158",60
Bahrain,Zain Mobile,9736637,"0,158","0,158",60
Bahrain,Zain Mobile,9736638,"0,158","0,158",60
Bahrain,Zain Mobile,9736639,"0,158","0,158",60
Bahrain,Zain Mobile,973666,"0,158","0,158",60
Bahrain,Zain Mobile,973669,"0,158","0,158",60
Bangladesh,Landline,880,"0,041","0,041",60
Bangladesh,Mobile,8801,"0,038","0,038",60
Barbados,Digicel Mobile,1246259,"0,29","0,29",60
Barbados,Digicel Mobile,124626,"0,29","0,29",60
Barbados,Mobile,1246530,"0,29","0,29",60
Barbados,Mobile,1246531,"0,29","0,29",60
Barbados,Mobile,1246532,"0,29","0,29",60
Barbados,Mobile,1246533,"0,29","0,29",60
Barbados,Mobile,1246534,"0,29","0,29",60
Barbados,Digicel Mobile,124682,"0,29","0,29",60
Barbados,Digicel Mobile,1246257,"0,284","0,284",60
Barbados,Digicel Mobile,124684,"0,29","0,29",60
Barbados,Digicel Mobile,124685,"0,29","0,29",60
Barbados,C&W Mobile,124623,"0,284","0,284",60
Barbados,C&W Mobile,124624,"0,284","0,284",60
Barbados,C&W Mobile,1246250,"0,284","0,284",60
Barbados,C&W Mobile,1246251,"0,284","0,284",60
Barbados,C&W Mobile,1246252,"0,284","0,284",60
Barbados,C&W Mobile,1246253,"0,284","0,284",60
Barbados,C&W Mobile,1246254,"0,284","0,284",60
Barbados,C&W Mobile,1246255,"0,284","0,284",60
Barbados,C&W Mobile,124645,"0,284","0,284",60
Barbados,C&W Mobile,124652,"0,284","0,284",60
Barbados,Mobile,1246446,"0,284","0,284",60
Barbados,Mobile,1246447,"0,284","0,284",60
Barbados,Mobile,1246448,"0,284","0,284",60
Barbados,Mobile,1246449,"0,284","0,284",60
Barbados,Special Services,1246776,1200,1200,60
Barbados,Special Services,1246777,1200,1200,60
Barbados,Digicel Mobile,124683,"0,29","0,29",60
Barbados,Digicel Mobile,1246258,"0,29","0,29",60
Barbados,Landline,1246,"0,246","0,246",60
Barbados,Digicel Mobile,1246256,"0,246","0,246",60
Belarus,Mobile,37533,"0,402","0,402",60
Belarus,Velcom Mobile,375291,"0,4","0,4",60
Belarus,Velcom Mobile,375293,"0,4","0,4",60
Belarus,Velcom Mobile,375296,"0,4","0,4",60
Belarus,Velcom Mobile,375299,"0,4","0,4",60
Belarus,Velcom Mobile,37544,"0,402","0,402",60
Belarus,Special Services,375602,"0,676","0,676",60
Belarus,Minsk,37517,"0,402","0,402",60
Belarus,Landline,375,"0,398","0,398",60
Belarus,Mobile,37525,"0,4","0,4",60
Belarus,Mobile,37529,"0,4","0,4",60
Belgium,Universal Access,32707,"0,057","0,057",60
Belgium,Landline,32,"0,119","0,119",60
Belgium,Mobile,32483,"0,031","0,031",60
Belgium,Mobile,32484,"0,031","0,031",60
Belgium,Mobile,32485,"0,031","0,031",60
Belgium,Mobile,32486,"0,031","0,031",60
Belgium,Mobile,32487,"0,031","0,031",60
Belgium,Mobile,32488,"0,031","0,031",60
Belgium,Mobile,32489,"0,031","0,031",60
Belgium,Mobile,32770002,"0,031","0,031",60
Belgium,Mobistar Mobile,3249,"0,031","0,031",60
Belgium,Mobistar Mobile,32770005,"0,031","0,031",60
Belgium,Proximus Mobile,32460,"0,031","0,031",60
Belgium,Proximus Mobile,3247,"0,031","0,031",60
Belgium,Proximus Mobile,32770001,"0,031","0,031",60
Belgium,Mobile,324630,"0,289","0,289",60
Belgium,Mobile,324651,"0,289","0,289",60
Belgium,Mobile,324652,"0,289","0,289",60
Belgium,Mobile,324653,"0,289","0,289",60
Belgium,Mobile,324654,"0,289","0,289",60
Belgium,Mobile,324655,"0,289","0,289",60
Belgium,Mobile,324656,"0,289","0,289",60
Belgium,Mobile,324657,"0,289","0,289",60
Belgium,Mobile,324658,"0,289","0,289",60
Belgium,Mobile,324659,"0,289","0,289",60
Belgium,Mobile,324660,"0,289","0,289",60
Belgium,Mobile,324661,"0,289","0,289",60
Belgium,Mobile,324662,"0,289","0,289",60
Belgium,Mobile,324663,"0,289","0,289",60
Belgium,Mobile,324664,"0,289","0,289",60
Belgium,Mobile,324665,"0,289","0,289",60
Belgium,Mobile,324666,"0,289","0,289",60
Belgium,Mobile,324667,"0,289","0,289",60
Belgium,Mobile,324669,"0,289","0,289",60
Belgium,Mobile,324671,"0,289","0,289",60
Belgium,Mobile,324672,"0,289","0,289",60
Belgium,Mobile,324689,"0,289","0,289",60
Belgium,Mobile,3277,"0,289","0,289",60
